26,1492,Good Grips Y peeler,"<p>Named for its shape, the Y Peeler features a sharp, stainless steel blade that glides through even the toughest fruit and vegetable skins with ease. The soft, comfortable handle cushions your hand as you peel, and is non-slip, even when your hands are wet.</p>","<p>A chefs favorite, designed for comfort and efficiency .</p>"
37,1456,Insulated Weighted Cup With Lid,"<p>Insulates hot or cold liquids. Features easy-to-grasp handle and stable, wide base. Not recommended for dishwasher or microwave use. Capacity 340ml (12fl.oz).</p>",<p>This mug has an extra 225g (8oz) of weight to make it easier for clients with tremors and athetosis to control movement while drinking .</p>
329,1457,Angled cup,"<div>
<p>As the dementia journey progresses, drinking will become more difficult for the person with dementia. Due to decreased mobility and a lack of strength and control in the neck muscles, tipping their head back safely for a drink is nearly impossible.</p>

<p>The rim of this amazing cup is angled so that the user can drink without tipping their head back to drain the glass. Its large handles allow the hand to be put inside for better grip or to be gripped. Comes complete with lid. Microwave and dishwasher safe. Capacity: 200ml.</p>
</div>","<p>Angled rim for the person who is unable to tip their head back safely to drink , Liquid level visible , Complete with lid and Microwave and dishwasher safe .</p>"
368,1492,THOMASHILFEN peeler,"",<p>Vitility peeler is a practical and useful tool.</p>
395,1492,THOMASHILFEN Small Peeler,"","<p>A practical, safe vegetable and fruit peeler. It is simply pushed over the finger and can be peeled in relaxed hand holding.</p>"
396,1492,THOMASHILFEN potato peeler,"",<p>Peeler Good Grips with thick handle</p>
397,1492,THOMASHILFEN Peeling knife,"<p>The knife is held on the table by three suction cups. Thus, with only one hand, e.g. Potatoes or apples. With the toothed opposite side of the cutting edge, Fish.</p>","<h3>Is held by three suction cups on the table to,&nbsp; Peel with only one hand possible ,Toothed opposite side allows e.g. To dump off a fish</h3>"
409,1355,One way straw,"<p>The drinking straws have a practical one-way valve. When liquid is in the drinking straw, it does not run back into the cup. This makes drinking easier and also prevents too much air from being swallowed when drinking. The drinking straws are provided with a clip and can be attached to a glass or cup.</p>",""
410,1355,Thomashilfen Dasia straw,"","<p>These short, stable drinking straws can be used for hot and cold drinks. For cans Novo .</p>"
411,1355,Thomashilfen sostegno straw,"","<p>Support for straw that is suitable for various types of glasses , Indicated to support a straw at a time.</p>"
739,1454,No-Spill Mug,"","<p>Artiart authentic creative cup success with stainless steel lid water cup mugs office , You can choose Colors And Sizes That You Love.</p>"
1008,1456,Insulated Thermo Mug,"<p>This red Thermo Safe Insulated Mug has a double wall construction that provides effective insulation but it also has an angled inner section, shaped like a cone, that means that the user can drink easily and independently without having to tip back the head. This makes it especially useful for those who have suffered neck injuries or who have otherwise restricted head movement. It helps to keep drinks at the desired temperature, hot or cold, and it protects hands against exposure to very hot surfaces. It has a red outer layer and a large handle that facilitates an easy, multi-finger grip. The red outer layer contrasts well with the white inner rim, a feature that helps users with visual impairments to orientate the mug more readily, thereby reducing the risks of spills and other accidents.</p>","<p>Insulated mug with handle and contrasting coloured rim. Mug features an internal cone which assists the drinking action for those with restricted neck movement. Available in two rim colours. Range of lids include a spouted lid, non-drip spouted lid and a standard lid with small drinking aperture.</p>"
1132,1492,OXO Good Grips serrated Peeler,"","<p>OXO Good Grips peeler with a sharp, serrated blade. No more problems when cutting soft fruits and vegetables such as tomatoes and peaches.</p>"
1200,1492,WingKnife Orange Peeler,"","<p>World&#39;s easiest orange peeler. Works like a knife but the wings make sure there are not too deeply cut into the flesh.</p>

<p>Safe for children.<br />
Dishwasher safe</p>"
1234,1457,Ergo Plus Cup,"<p>With two large, wide handles this lightweight cup offers more stability and easy handling, which is ideal for people who struggle with their grip or conditions such as arthritis. It is well suited for arthritic hands and people who experience tremors encouraging users to drink independently without spillage. Allowing an individual to hydrate themselves can do great things for their confidence. This durable cup can be partnered with the a range of different lids: the non drip spouted lid, the shaped spouted lid and the easy drinking lid. Please see below under Related Items for details of the different lids available. The cup is available in two rim colours: clear or yellow (pictured).</p>

<ul>
	<li>&bull; A drinks cup that has two easy to grip handles for stability<br />
	&bull; Ideal for individuals who struggle with hand control or strength to lift one handed<br />
	&bull; It is made using a durable plastic so it won&#39;t smash if dropped<br />
	&bull; There are a range of lids available to suit the user&#39;s requirements<br />
	&bull; Choice of clear to see fluid level or bright yellow for visibility</li>
</ul>",<h1><span style="font-size:14px">Ergo Plus Cup</span></h1>
1276,1456,Vital Ergo Mug,"<div>
<p>This red and white contrasting mug is designed to stimulate appetite and help people with cognitive limitations better see what they are drinking, thanks to the contrasting colour scheme. The unique design of the mug is ideal for people suffering from dementia or for people with limited mobility in the head or neck.</p>

<p>With a conically shaped inner cup and two broad handles for easy grip, this clever shape of this mug allows the contents to be emptied into the mouth without tilting head. Ideal for use in bed or when laying down. The thermodynamic function helps your drink stay warm or cool. The mug is especially lightweight and easy to hold, even for people with limited hand dexterity.</p>

<p>With a capacity of 200ml, the mug weighs less than 150 grams.</p>

<p>Made in Germany, this product is made from durable and hard wearing melamine. Suitable for the dishwasher but not the microwave. Ornamin offers a lifetime warranty against defect if products are used accordingly to their care instructions.</p>

<p><em>Developed in consultation with clinical experts and customer needs, Ornamin have developed a comprehensive range of eating and drinking aids that are both functional and elegant. Specifically designed for people suffering from Alzheimer&#39;s (a form of dementia), this colourful range of tableware is ideal for anyone with cognitive impairment or decreased visual capacity. Many items are also useful for people with impaired mobility or reduced motor skills such as Parkinson&#39;s Disease</em>.</p>
</div>",""
1279,1492,Victorinox Swivel Swiss Peeler Black,"","<div>
<h1><span style=""font-size:14px"">Victorinox Swivel Swiss Peeler Black</span></h1>

<div>Swivel headed, ergonomically-designed, potato peeler, for use in the left hand.</div>
</div>"
1284,1454,Non Spill Cup,"<p>If you have difficulty with poor or weak grip as a result of for example arthritis or you have a tremor then this could be the cup for you.</p>

<p>The wide base makes the drinking cup more stable and the two handed large grip handles makes it easier to hold.</p>

<p>This two handled cup is suitable for Children and Adults. The cup has an angled spill resistant spout and lid and a sip lid and can be used with a straw.</p>

<p>PLEASE NOTE - No cup can be totally non-spill - this cup is designed to mitigate spillages.</p>

<ul>
	<li>Angled spill resistant spout and lid and sip lid</li>
	<li>Can be used with a straw</li>
	<li>The wide base makes the cup more stable</li>
	<li>Scale on the side of the cup for measuring volume</li>
	<li>Cup is dishwasher and microwave safe-LID IS NOT</li>
	<li>Capacity: 8oz</li>
	<li>Height: 9cm (3&frac12;&quot;)</li>
	<li>Width: 13cm (5&quot;)</li>
	<li>Weight: 0.1Kg (0.2lb)</li>
</ul>","<p>If you have difficulty with poor or weak grip as a result of for example arthritis or you have a tremor then this could be the cup for you.</p>

<p>The wide base makes the drinking cup more stable and the two handed large grip handles makes it easier to hold.</p>

<p>This two handled cup is suitable for Children and Adults. The cup has an angled spill resistant spout and lid and a sip lid and can be used with a straw.</p>

<p>PLEASE NOTE - No cup can be totally non-spill - this cup is designed to mitigate spillages.</p>"
1302,1492,Culinare Safety Peeler,"<p>Vegetable peeler designed for comfortable, safe, effortless peeling.Whether your right or left handed, this Culinare vegetable peeler has an ergonomic handle to ensure comfort and ease of use in mealtime preparations. There&#39;s also left and right de-eyeing tools. Dishwasher safe.Please note: once used, this item is non-returnable unless it is faulty.<strong>Product Instructions</strong><br />
When available, braille and audio product instructions are located in the Accessories section at the bottom of the page. If you require either, please add them to your basket</p>","<div>
<div>
<div>Vegetable peeler designed for comfortable, safe, effortless peeling</div>
</div>
</div>"
1309,1492,0X0 good grip Serrated Peeler,"<p>Perfect for peeling tomatoes, peaches and other soft produce, the Serrated Peeler&rsquo;s sharp stainless steel blade catches onto softer fruits and vegetables with ease to peel smoothly with minimal bruising. The soft handle cushions your hand as you peel and is non-slip, even when wet.</p>","<h5><span style=""font-size:14px"">Effortlessly, efficiently peels slippery and waxy skins</span></h5>"
1355,1491,Essential Multi Peeler,"<p>Product Features<br />
Versatile electric peeler suitable for peeling hard and soft fruit and vegetables and grating cheese and chocolate<br />
powerful battery operated motor<br />
Oscillating serrated blades remove a thin layer of peel retaining the goodness in the fruit/vegetables<br />
Blade cover with useful de-eyer tool protects blade during storage<br />
Splash-proof - easy to clean<br />
approximately 220mm length x 53mm wide (at widest point including blade cover)</p>",""
1364,1492,Garnish Peeler,"","<p>An efficient and easy to use garnish peeler that performs a variety of functions. The horizontal blade allows peeling without cocking the wrist and the lightweight, ergonomically designed handle makes it easy to hold and use. The peeler also has two scoops on either side of the peeling blade to remove potato eyes. A corer also folds out making apple coring simple. The peeler blade has a protective guard for safety.</p>"
1490,1492,Vegetable/ potato peeler with hand strap,"",""
1546,1455,Litecup,"<p>Litecup&#39;s clever reduced spill system minimises lifes frustrations and clean up time from knocks, drops and spills and supports the bottle to beaker transition. The 360 degree drinking edge means little ones can drink at any angle, plus no straws or spouts for comfort sucking.</p>

<p>Very easy to clean,&nbsp;Litecup is robust enough for every day use&nbsp;and is also great for travel.</p>

<p>This item is not a toy.</p>

<p>.</p>",<p>The comforting night light means the cup can be placed anywhere near your little ones bed and still be easy to find - it&#39;s also light sensitive so you don&#39;t need to remember to turn it off!&nbsp;</p>
1599,1457,Domoor Trinkbecher Design Richard Hutten,"<h3>Gispen Dombo mug</h3>

<p>If you drop a mug with such large handles / ears, you are really a Dombo. This is also the name of this cheerful drinking mug designed by Richard Hutten for the Gispen Home collection. The design of Dombo, which is also sometimes called Domoor, points to the human ear; The only body part that grows all your life. And of course, there is also a cartoon film about an elephant with very big ears called Dombo (Dumbo). The large handles of the cup offer a good grip, practical for young and old. Just as practical as decorative. You can also use this fresh drinking cup for storing pens or as a herbal pot. Ideal as a gift or for personal use.</p>

<h3>execution</h3>

<p>The Gispen Dombo mug is made of non-breakable plastic and is available in 8 colors: besides black and white also in light gray, yellow, dark red, pink, light blue and green. Dombo does not like microwaves but is dishwasher safe. We always deliver the Dombo in a gift package, which is an ideal gift for sending.</p>","<p>The mug with the big ears: The Dombo from the Gispen Home collection. A cheerful drinking mug with two oversized handles for a good hold. Also called domoor once, a reference to the human ear, which continues to grow throughout our lives. This Dombo cup is available in 8 colors, non-break and dishwasher safe. An ideal gift that we always send in a gift wrap.</p>"
1601,1454,Trinkbecher,"","<p><span style=""font-size:small"">Due to the closable and bendable drinking tube, the mug is a helpful article in the care of the elderly and in the care of the sick, but also for children.</span></p>

<p><span style=""font-size:small"">It is stable, durable, leak-proof and dishwasher safe.</span> <span style=""font-size:small"">This is also a contribution to environmental relief.</span></p>"
1607,1454,Trinkbecher Ergonom,"<p>The valve in the lid makes it virtually leak-proof when tilted. It is graduated and holds 200 ml. The scope of delivery includes the cup and lid.<br />
<br />
Note:<br />
- The person drinking must suck the liquid.<br />
- The cup is not suitable for carbonated beverages.<br />
<br />
Material:<br />
- Cup: Polycarbonate, microwaveable<br />
- Cover: Polypropylene, microwaveable<br />
<br />
Cleaning:<br />
- Cup: dishwasher-safe and autoclavable up to 130 &deg; C (short-term)<br />
- Cover: dishwasher safe</p>","<div>Secure grip , The ergonomic shape of this drinking cup with the special indentations is particularly suitable for people with limited mobility.</div>"
1643,1491,Apple Peeling metal machine,"<p>&nbsp;Amazing Apple Machine - Corer, Peeler and Slicer all in one!Suction base securely attaches the machine to a non-porous surface Perfect for any apple prep you can think of! Great for similar items like potatoes Customize settings to either just peel, core and slice, or do all three!Just wipe clean after use</p>","<h1><span style=""font-size:12px"">TrueCraftware Heavy Duty Red Apple Peeler, Corer and Slicer Machine with Suction Base - Apple Spiralizer - Great for Pies, Desserts, Snacks - Peeler Slicer Corer </span></h1>"
1646,1454,Becher,"<p>The cup is suitable for people with coordination problems, decreased muscle strength and can bend difficult their head and / or neck. The edge of the HandyCup is slanted so that one can drink without bending the head backwards and without the nose touches the edge of the cup. The cup is transparent, allowing to see the amount of liquid and has a large, broad base which ensures that the cup can not fall over quickly. Comes with lid.</p>","<p>Mug Anti-leak with one handle , cup with lid and vacuum dosing button , Independence drinking cup , Schnabeltasse , drinking cup ErgoPlus , drinking cup Night watch .</p>"
1721,1491,Orange Peeling metal machine,"<ul>
	<li><span style=""color:#111111"">Fruit Peeler Orange Potato Apple</span></li>
	<li><span style=""color:#111111"">Counter Top Hand Remove Peel</span></li>
	<li><span style=""color:#111111"">Easy to remove orange peel</span></li>
	<li><span style=""color:#111111"">Adjustable for small or large fruit</span></li>
	<li><span style=""color:#111111"">Steel construction Stainless cutting blade</span></li>
</ul>","<p><span style=""font-family:Arial,Verdana,Helvetica Neue,Helvetica"">Fruit &amp; Vegetables Counter Top Hand Orange - Apple - Potato Peeler Remover</span></p>"
1850,1491,Electric Potato Peeling machine,"<ul>
	<li>Electric potato machine for with 6&nbsp;rostfreien grating</li>
	<li>1&nbsp;kg potatoes in 2&nbsp;minutes</li>
	<li>Also be used as salad spinner</li>
	<li>With extremely powerful motor</li>
	<li>Quick disconnect, making it easy to clean</li>
</ul>",""
1864,1454,Einnehmebecher mit Griff und Deckel,"","<p>The cup is suitable for heating liquids and food in the microwave. It is offered with 1 handle, 2 handles and without handle. There are 4mm opening for liquids and 12mm opening for breads. The grips (depending on the model) allow a good handling; If the movement is restricted, the hand between the handle and the cup can be easily held. Handles allow you to take hot drinks. The lid and the beaker are made of polypropylene. The cup is resistant to hot and cold drinks.</p>"
7253,1458,Plastice wine glass,"<p>It&rsquo;s vital that people with dementia stay hydrated throughout the day, especially if they struggle to remember to stop and take a drink very often. But if drinking has become difficult, especially holding or lifting cups and glasses, they may prefer to use glassware that is made of ultra-durable plastic so they won&rsquo;t be afraid of smashing it and having to clear up broken glass.</p>

<p>The Find Plastic Wine Glass is made of a virtually indestructible hi-tech plastic called Tritan. The glass is clear, so you can easily see the contents.</p>

<p>Available as a pack of 6 or individual.</p>

<h4><strong>Key Benefits</strong></h4>

<ul>
	<li>Clear, hardwearing plastic so you can see contents easily</li>
	<li>No risk of broken glass, which gives people confidence</li>
	<li>Helps maintain hydration levels</li>
</ul>",""
7254,1355,One Way Straws - Pack of 10,"<p>It&rsquo;s vital that people with dementia stay hydrated throughout the day, especially if they struggle to remember to stop and take a drink very often. If drinking has become difficult, they may find it easier to use straws rather than drinking straight from a cup or glass.</p>

<p>One direction drinking straws can help as they have a special valve which prevents liquid flowing back down the straw and into the cup once you stop sucking. It simply stays within the straw until you start sucking again. This makes it ideal for people who aren&rsquo;t able to suck strongly or for a long time and prevents air being sucked into the stomach which can cause pain and discomfort.</p>

<p>The straws can be used on their own, or alongside the Find Dining mug and lid, which has a special hole to fit the straw through. The straws are rigid, but can be angled slightly by running them under hot water and bending.</p>

<p>Pack of 10.</p>

<h4><strong>Key Benefits</strong></h4>

<ul>
	<li>Special valve prevents liquid flowing back down straw</li>
	<li>Ideal for people with a weak suck reflex</li>
	<li>Made from rigid plastic</li>
</ul>",""
